Apple,52.00,0.3,14,0.2
Banana, 89, 1.09, 22.84, 0.33
Orange, 47, 0.94, 11.75, 0.12
Grapes, 69, 0.72, 18.1, 0.16
Blueberries, 57, 0.74, 14.49, 0.33
Strawberries, 32.00, 0.7, 8, 0.3
Broccoli, 34, 2.82, 6.64, 0.37
Lettuce, 14, 0.9, 2.97, 0.14
Red Tomatoes, 18, 0.88, 3.92, 0.2
Mushrooms, 22, 3.09, 3.28, 0.34
Carrot, 41, 0.93, 9.58, 0.24
Onions, 42, 0.92, 10.11, 0.08
Spinach, 23, 2.86, 3.63, 0.39
Chicken Breast, 195.00, 29.55, 0, 7.72
Fish, 112, 23.3, 0, 1.22
Salmon, 146.00, 21.62, 0, 5.93
Beef, 159.00, 26.0, 0, 7.0
Pork, 143.00, 26.0, 0, 5.3
Eggs, 155.00, 13.0, 1, 11.0
White Rice, 130.00, 2.7, 28, 0.3
Quinoa, 120.00, 4.4, 21, 1.9
Whole Wheat Pasta, 124.00, 4.5, 25, 1.3
Lentils, 116.00, 9.0, 20, 0.4
Black Beans, 132.00, 8.9, 24, 0.5
Whole Wheat Bread, 247.00, 9.4, 49, 3.6
Almonds, 576.00, 21.0, 21.7, 49.0
Peanuts, 567, 25.8, 16.13, 49.2
Cashews, 553.00, 18.2, 30.2, 44.0
Walnuts, 654.00, 15.2, 13.7, 65.21
Peanut Butter, 588.00, 25.8, 20.0, 50.0
Olive Oil, 884.00, 0.0, 0, 100.0
Whole Milk, 61.00, 3.2, 5, 3.3
Plain Yogurt, 61.00, 3.5, 5, 3.3
Cheddar Cheese, 403.00, 24.9, 1, 33.1
Chicken Adobo, 141, 15.63, 3.27, 6.48
Pork Adobo, 165, 14.93, 3.43, 9.4
Porkchop, 250, 27.91, 0, 14.57
Pork Spareribs, 395, 28.94, 0, 30.17 
Fish Sinigang, 70.00, 3.5, 6, 3.0
Pork Sinigang, 100.00, 7.0, 5, 5.0
Lechon, 330.00, 27.0, 0, 25.0
Kare Kare, 220.00, 12.0, 10, 14.0
Noodles, 137, 4.51, 25.01, 2.06
Pork Tocino, 305.00, 16.0, 16, 20.0
Longganisa, 297.00, 14.0, 6, 25.0
Beef Sausage, 325, 11.04, 3.99, 29.08
Chicken Sausage, 172, 17.82, 1.52, 9.98
Corned Beef, 251, 18.17, 0.47, 18.98
Beef Loaf, 308, 14.4, 2.9, 26.3
Beef Steak, 252, 27.92, 0, 15.01
French Fries, 274, 3.48, 35.66, 14.06
Onion Rings, 332, 4.46, 37.7, 18.69
Hash Brown, 217, 3.14, 27.93, 11.43
Bacon, 541, 37.04, 1.43, 41.78
Pork Belly, 518, 9.34, 0, 53.01
Ground Pork, 263, 16.88, 0, 21.19
Scrambled Egg, 166, 11.09, 2.2, 12.21
Poached Egg, 146, 12.53, 0.77, 9.9
Boiled Egg, 154, 12.53, 1.12, 10.57
Pork Sisig, 215, 16.24, 5.18, 14.45
Tuna, 116, 25.51, 0, 0.82
Tilapia, 96, 20.80, 0, 1.7
Grilled Fish, 109, 22.6, 0.28, 1.18
Fried Rice, 168, 6.3, 21.06, 6.23
Brown Rice, 110, 2.56, 22.78, 0.89
Coca Cola, 37, 0.07, 9.56, 0.02
Orange Juice, 45, 0.7, 10.4, 0.2
Coffee, 1, 0.12, 0.04, 0.02
Cappuccino, 31, 1.7, 2.42, 1.66
Espresso Coffee, 2, 0.12, 0, 0.18
Chocolate Cake, 367, 4.1, 54.6, 16.4
Croissant, 406, 8.2, 45.8, 21
Cinnamon Pastry, 403, 7, 44.6, 22.4
Calamari, 125, 15.13, 9.9, 2.17
Shrimp, 144, 27.59, 1.24, 2.35
Lobster, 97, 20.33, 1.27, 0.58
Clams, 74, 12.77, 2.57, 0.97
Avocado, 160, 2, 8.53, 14.66
Hamburger, 257, 11.62, 32.31, 9.22
Cheeseburger, 261, 14.12, 23.48, 12.52
Hotdog, 247, 10.6, 18.4, 14.84
Cheesecake, 321, 5.5, 25.5, 22.5
Diet Coke, 1, 0.11, 0.24, 0.02
Lemonade, 40, 0.07, 10.43, 0.04
Beer, 40, 0.47, 3.6, 0
Light Beer, 29, 0.24, 1.64, 0
Margarita, 218, 0.06, 13.86, 0.11
Mojito, 96, 0.06, 11.08, 0.02
Martini, 226, 0.02, 0.57, 0
Whiskey, 250, 0, 0.1, 0
Low Fat Milk, 43, 3.48, 5.15, 1
Nonfat Milk, 35, 3.41, 4.85, 0.18
Tuna Salad, 184, 14.27, 6.96, 11.02
Egg Salad, 318, 9.2, 1.93, 30.26
Potato Salad, 143, 2.68, 11.17, 8.2
Mashed Potato, 100, 1.8, 15.72, 3.54
Chicken Soup, 31, 1.68, 3.88, 1.02
Tomato Soup, 42, 1.25, 7.35, 1.2
Chicken Noodle Soup, 27, 1.32, 3.07, 0.99
Instant Noodle Soup, 19, 0.9, 3.05, 0.35
Brownie, 379, 4.76, 62.54, 13.77
Ice Cream, 201, 3.52, 24.4, 10.72
Candy, 384, 0, 95.71, 0.1
Doughnut, 412, 5.7, 47, 22.85
Chocolate Candies, 505, 3.9, 59.6, 34.2
Strawberry, 32, 0.67, 7.68, 0.3
Halo-Halo, 125.00, 2.27, 19.46, 4.93
Suman, 216.00, 4.0, 43, 2.5
Turon, 225.00, 2.0, 40, 6.0
Apple Pie, 265, 2.4, 37.1, 2.4
Starbucks,190,19,7,13
